CERT,label,NAME,CITY,PSTALP,fail_date,QBFASSET,region,size_bucket,n_filings
32469,United Commercial Bank (CA 2009),UNITED COMMERCIAL BANK,SAN FRANCISCO,CA,2009-11-06,10895336,West,Over $10B,20
22286,United Security Bank (GA 2009),UNITED SECURITY BANK,SPARTA,GA,2009-11-06,153639,South,$100M to $1B,20
32267,"Century Bank, a Federal Savings Bank (FL 2009)","CENTURY BANK, A FEDERAL SAVINGS BANK",SARASOTA,FL,2009-11-13,755923,South,$100M to $1B,20
22427,Orion Bank (FL 2009),ORION BANK,NAPLES,FL,2009-11-13,2612515,South,$1B to $10B,20
57914,Pacific Coast National Bank (CA 2009),PACIFIC COAST NATIONAL BANK,SAN CLEMENTE,CA,2009-11-13,131418,West,$100M to $1B,18
58016,Commerce Bank of Southwest Florida (FL 2009),COMMERCE BANK OF SOUTHWEST FLORIDA,FORT MYERS,FL,2009-11-20,70997,South,Under $100M,17
29776,Amtrust Bank (OH 2009),AMTRUST BANK,CLEVELAND,OH,2009-12-04,11438990,Midwest,Over $10B,20
10440,Benchmark Bank (IL 2009),BENCHMARK BANK,AURORA,IL,2009-12-04,173062,Midwest,$100M to $1B,20
26290,First Security National Bank (GA 2009),FIRST SECURITY NATIONAL BANK,NORCROSS,GA,2009-12-04,127455,South,$100M to $1B,20
32583,Greater Atlantic Bank (VA 2009),GREATER ATLANTIC BANK,RESTON,VA,2009-12-04,203262,South,$100M to $1B,20
34663,The Buckhead Community Bank (GA 2009),THE BUCKHEAD COMMUNITY BANK,ATLANTA,GA,2009-12-04,856236,South,$100M to $1B,20
12080,The Tatnall Bank (GA 2009),THE TATNALL BANK,REIDSVILLE,GA,2009-12-04,49612,South,Under $100M,20
22846,"Republic Federal Bank, N.a. (FL 2009)","REPUBLIC FEDERAL BANK, N.A.",MIAMI,FL,2009-12-11,433011,South,$100M to $1B,20
4731,Solutionsbank (KS 2009),SOLUTIONSBANK,OVERLAND PARK,KS,2009-12-11,511103,Midwest,$100M to $1B,20
58399,"Valley Capital Bank, N.a. (AZ 2009)","VALLEY CAPITAL BANK, N.A.",MESA,AZ,2009-12-11,40270,West,Under $100M,12
1006,Citizens State Bank (MI 2009),CITIZENS STATE BANK,NEW BALTIMORE,MI,2009-12-18,168551,Midwest,$100M to $1B,20
28536,"First Federal Bank of California,  a Federal Savings Bank (CA 2009)","FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",SANTA MONICA,CA,2009-12-18,6143903,West,$1B to $10B,20
26348,Imperial Capital Bank (CA 2009),IMPERIAL CAPITAL BANK,LA JOLLA,CA,2009-12-18,4046888,West,$1B to $10B,20
26820,Independent Bankers' Bank (IL 2009),INDEPENDENT BANKERS' BANK,SPRINGFIELD,IL,2009-12-18,585508,Midwest,$100M to $1B,20
32276,New South Federal Savings Bank (AL 2009),NEW SOUTH FEDERAL SAVINGS BANK,IRONDALE,AL,2009-12-18,1464127,South,$1B to $10B,20
32167,Peoples First Community Bank (FL 2009),PEOPLES FIRST COMMUNITY BANK,PANAMA CITY,FL,2009-12-18,1795420,South,$1B to $10B,20
58315,Rockbridge Commercial Bank (GA 2009),ROCKBRIDGE COMMERCIAL BANK,ATLANTA,GA,2009-12-18,294024,South,$100M to $1B,12
22977,Horizon Bank (WA 2010),HORIZON BANK,BELLINGHAM,WA,2010-01-08,1188956,West,$1B to $10B,20
1252,Barnes Banking Company (UT 2010),BARNES BANKING COMPANY,KAYSVILLE,UT,2010-01-15,709171,West,$100M to $1B,20
17522,St. Stephen State Bank (MN 2010),ST. STEPHEN STATE BANK,ST. STEPHEN,MN,2010-01-15,22895,Midwest,Under $100M,20
34705,Town Community Bank and Trust (IL 2010),TOWN COMMUNITY BANK AND TRUST,ANTIOCH,IL,2010-01-15,70758,Midwest,Under $100M,20
8265,Bank of Leeton (MO 2010),BANK OF LEETON,LEETON,MO,2010-01-22,20128,Midwest,Under $100M,20
32498,Charter Bank (NM 2010),CHARTER BANK,SANTA FE,NM,2010-01-22,1201922,West,$1B to $10B,20
22469,Columbia River Bank (OR 2010),COLUMBIA RIVER BANK,THE DALLES,OR,2010-01-22,955112,West,$100M to $1B,20
20501,Evergreen Bank (WA 2010),EVERGREEN BANK,SEATTLE,WA,2010-01-22,395980,West,$100M to $1B,20
57147,Premier American Bank (FL 2010),PREMIER AMERICAN BANK,MIAMI,FL,2010-01-22,299225,South,$100M to $1B,20
16730,American Marine Bank (WA 2010),AMERICAN MARINE BANK,BAINBRIDGE ISLAND,WA,2010-01-29,329246,West,$100M to $1B,20
5702,Community Bank & Trust (GA 2010),COMMUNITY BANK & TRUST,CORNELIA,GA,2010-01-29,1181717,South,$1B to $10B,20
16480,First National Bank of Georgia (GA 2010),FIRST NATIONAL BANK OF GEORGIA,CARROLLTON,GA,2010-01-29,840633,South,$100M to $1B,20
23011,First Regional Bank (CA 2010),FIRST REGIONAL BANK,LOS ANGELES,CA,2010-01-29,2082684,West,$1B to $10B,20
5672,Florida Community Bank (FL 2010),FLORIDA COMMUNITY BANK,IMMOKALEE,FL,2010-01-29,835701,South,$100M to $1B,20
16133,"Marshall Bank, National Association (MN 2010)","MARSHALL BANK, NATIONAL ASSOCIATION",HALLOCK,MN,2010-01-29,58566,Midwest,Under $100M,20
15448,1st American State Bank of Minnesota (MN 2010),1ST AMERICAN STATE BANK OF MINNESOTA,HANCOCK,MN,2010-02-05,18155,Midwest,Under $100M,20
29952,George Washington Savings Bank (IL 2010),GEORGE WASHINGTON SAVINGS BANK,ORLAND PARK,IL,2010-02-19,413673,Midwest,$100M to $1B,20
32423,"La Jolla Bank, Fsb (CA 2010)","LA JOLLA BANK, FSB",LA JOLLA,CA,2010-02-19,3646071,West,$1B to $10B,20
57586,Marco Community Bank (FL 2010),MARCO COMMUNITY BANK,MARCO ISLAND,FL,2010-02-19,119578,South,$100M to $1B,20
3287,The La Coste National Bank (TX 2010),THE LA COSTE NATIONAL BANK,LA COSTE,TX,2010-02-19,53936,South,Under $100M,20
58352,Carson River Community Bank (NV 2010),CARSON RIVER COMMUNITY BANK,CARSON CITY,NV,2010-02-26,51095,West,Under $100M,13
38129,Rainier Pacific Bank (WA 2010),RAINIER PACIFIC BANK,TACOMA,WA,2010-02-26,717806,West,$100M to $1B,20
9268,Bank of Illinois (IL 2010),BANK OF ILLINOIS,NORMAL,IL,2010-03-05,211711,Midwest,$100M to $1B,20
