CERT,NAME,CITY,STALP,ASSET
34607,First Internet Bank of Indiana,Fishers,IN,5683154
34403,Coastal Community Bank,Everett,WA,5659447
4091,"Stride Bank, National Association",Enid,OK,5644142
26647,Firstrust Savings Bank,Conshohocken,PA,5636176
713,Orrstown Bank,Harrisburg,PA,5576514
27811,Independent Bank,Grand Rapids,MI,5551229
21265,Bradesco Bank,Coral Gables,FL,5549791
23474,The American National Bank of Texas,Terrell,TX,5546680
27210,InterBank,Oklahoma City,OK,5478222
23287,The Cape Cod Five Cents Savings Bank,Hyannis,MA,5459093
6985,The Canandaigua National Bank and Trust Company,Canandaigua,NY,5456717
7514,Peoples Security Bank and Trust Company,Dunmore,PA,5415574
21868,"Bessemer Trust Company, National Association",New York,NY,5409760
90250,Institution for Savings in Newburyport and Its Vicinity,Newburyport,MA,5406916
19416,CTBC Bank Corp. (USA),Los Angeles,CA,5369932
58210,Bridgewater Bank,Saint Louis Park,MN,5323177
18429,Morton Community Bank,Morton,IL,5281633
3931,"Alerus Financial, National Association",Grand Forks,ND,5277526
15359,Southern Bank and Trust Company,Mount Olive,NC,5251445
8879,Community Bank of Mississippi,Flowood,MS,5123303
28332,Southern Bank,Poplar Bluff,MO,5090783
16130,First National Bank Alaska,Anchorage,AK,5083974
57134,"Leader Bank, National Association",Arlington,MA,5078040
19690,Northeast Bank,Portland,ME,5034096
35361,Five Star Bank,Roseville,CA,5031561
57056,Celtic Bank,Salt Lake City,UT,4965251
3405,Vantage Bank Texas,San Antonio,TX,4934452
34395,"Barrington Bank & Trust Company, National Association",Barrington,IL,4927099
3973,First Bank & Trust,Brookings,SD,4868698
17437,Dacotah Bank,Aberdeen,SD,4867664
1536,Bank of Stockton,Stockton,CA,4834846
58596,Carter Bank & Trust,Martinsville,VA,4778484
3285,First National Bank Texas,Killeen,TX,4679568
11971,Bar Harbor Bank & Trust,Bar Harbor,ME,4672493
14650,Hills Bank and Trust Company,Hills,IA,4671475
25103,City Bank,Lubbock,TX,4643946
58181,Metro City Bank,Doraville,GA,4633553
90213,PeoplesBank,Holyoke,MA,4625654
35295,Southern First Bank,Greenville,SC,4581505
90211,Hingham Institution for Savings,Hingham,MA,4547851
3250,"VeraBank, National Association",Henderson,TX,4530899
25679,International Bank of Commerce,Brownsville,TX,4520154
34717,"Town Bank, National Association",Hartland,WI,4515383
17323,First State Community Bank,Farmington,MO,4512330
7074,Arrow Bank National Association,Glens Falls,NY,4500795
11507,The Fidelity Bank,Fuquay Varina,NC,4498624
33803,"Wheaton Bank & Trust, National Association",Wheaton,IL,4462876
17842,Texas Bank and Trust Company,Longview,TX,4461113
9622,Capital City Bank,Tallahassee,FL,4450684
19080,Inwood National Bank,Dallas,TX,4438460
33664,State Bank of India,Chicago,IL,4426195
1014,ChoiceOne Bank,Sparta,MI,4391138
27677,HomeTrust Bank,Asheville,NC,4384743
31313,First Federal Bank,Lake City,FL,4382686
34788,American Business Bank,Los Angeles,CA,4371214
15229,First Business Bank,Madison,WI,4320998
12982,Civista Bank,Sandusky,OH,4290141
20099,Texas Exchange Bank,Crowley,TX,4272272
20164,Sunwest Bank,Sandy,UT,4270088
57968,Primis Bank,Tappahannock,VA,4238557
1617,The Bank of Missouri,Perryville,MO,4236274
58816,Royal Business Bank,Los Angeles,CA,4186507
19459,United Community Bank,Chatham,IL,4165370
32612,"NATIONAL COOPERATIVE BANK, N.A.",Hillsboro,OH,4147953
22918,The First Bank and Trust Company,Lebanon,VA,4147949
35237,"John Deere Financial, f.s.b.",Middleton,WI,4106696
15399,RCB Bank,Claremore,OK,4073384
